lune_lat,lune_lon,class,etype_pred,prob_eq,prob_ex,prob_co
-17.165,-3.001,0,eq,0.9736924302750235,0.012417351045796115,0.013890218679180387
-0.744,12.245,0,eq,0.9658685587477245,0.01674473115505305,0.017386710097222455
-11.586,-22.318,0,eq,0.8359057703295919,0.07557848184469919,0.08851574782570885
28.695,21.221,0,eq,0.8325799552888413,0.0906454608956274,0.07677458381553132
31.865,-16.492,0,eq,0.8260949224519739,0.15081717279477647,0.02308790475324959
-18.933,24.811,0,eq,0.7059130964863847,0.1077251655899364,0.18636173792367894
3.889,-0.869,0,eq,0.9879117168186753,0.005709892610885683,0.00637839057043908
43.76,12.745,0,eq,0.8078400457839838,0.1488951062646184,0.04326484795139771
-28.867,-26.034,0,eq,0.63504896790631,0.1800074534156228,0.1849435786780671
66.459,15.246,0,eq,0.4736121316529813,0.42070213263730555,0.10568573570971311
14.259,-3.951,0,eq,0.9838986801675413,0.008455309796667436,0.0076460100357912605
85.825,26.818,0,eq,0.3804274313382053,0.35553406823703676,0.26403850042475796
42.077,14.863,0,eq,0.8233411925578684,0.12684925938083963,0.049809548061291994
3.243,28.924,0,eq,0.6518205933354072,0.1708001134771679,0.1773792931874249
8.534,-6.49,0,eq,0.9844118702738163,0.007439365674463236,0.008148764051720445
-3.769,-1.526,0,eq,0.9866468716999645,0.006229992001132171,0.00712313629890334
-78.166,-9.794,0,eq,0.36102338968351405,0.2787553983874537,0.36022121192903217
-51.716,-22.703,0,eq,0.5073528874065396,0.24612673244614863,0.2465203801473117
21.452,-15.105,0,eq,0.9372493529098406,0.0419684741129349,0.020782172977224494
40.772,15.541,0,eq,0.8324188871609095,0.11625517627789131,0.05132593656119919
-14.405,0.206,0,eq,0.9790575428055956,0.009864678603182487,0.011077778591221894
21.835,11.423,0,eq,0.9552739312096094,0.025661699759122712,0.019064369031267958
14.75,-25.952,0,eq,0.7779554275698233,0.12721161652361007,0.09483295590656668
17.524,1.452,0,eq,0.9817833295314332,0.010236992584242795,0.007979677884323974
58.83,-13.243,1,ex,0.13068220764240626,0.8417760095916713,0.0275417827659224
-58.229,-8.371,0,eq,0.5360736218826426,0.19281744691521574,0.2711089312021417
63.181,-29.17,1,ex,0.08787636954477282,0.8483471552812195,0.06377647517400768
-5.745,-17.509,0,eq,0.9309186145978557,0.03083851440954217,0.03824287099260213
-19.998,23.616,0,eq,0.7346188414386825,0.0935162855220682,0.17186487303924933
-44.559,-6.326,0,eq,0.7558118035066537,0.10173997398477005,0.1424482225085763
48.782,-10.445,1,ex,0.3970716016960795,0.5800285235621552,0.02289987474176529
30.275,24.371,0,eq,0.7612021621507907,0.12537854328913609,0.11341929456007319
33.926,-20.993,0,eq,0.6833842981523987,0.28285506477446704,0.03376063707313437
17.434,26.495,0,eq,0.7302734413669749,0.13599534783008688,0.13373121080293826
-23.038,11.657,0,eq,0.9297345509546573,0.025963354467165523,0.04430209457817719
-52.764,9.174,0,eq,0.5758319776665306,0.06892999337966646,0.3552380289538029
19.926,-0.319,0,eq,0.9792683001928926,0.012348522259370024,0.008383177547737411
30.447,12.249,0,eq,0.9230605126526447,0.05003373056863683,0.026905756778718464
